TIME,IP,PORT,TYPE,ERROR
09:11:25,192.168.10.20,1375,tcp,Exception error for port 1375
09:11:25,192.168.10.20,1376,tcp,Exception error for port 1376
09:11:25,192.168.10.20,1377,tcp,Exception error for port 1377
09:11:25,192.168.10.20,1378,tcp,Exception error for port 1378
09:11:25,192.168.10.20,1379,tcp,Exception error for port 1379
09:11:25,192.168.10.20,1380,tcp,Exception error for port 1380
09:11:25,192.168.10.20,1381,tcp,Exception error for port 1381
09:11:25,192.168.10.20,1382,tcp,Exception error for port 1382
09:11:25,192.168.10.20,1383,tcp,Exception error for port 1383
09:11:25,192.168.10.20,1384,tcp,Exception error for port 1384
09:11:25,192.168.10.20,1385,tcp,Exception error for port 1385
09:11:25,192.168.10.20,1386,tcp,Exception error for port 1386
09:11:25,192.168.10.20,1387,tcp,Exception error for port 1387
09:11:25,192.168.10.20,1388,tcp,Exception error for port 1388
09:11:25,192.168.10.20,1389,tcp,Exception error for port 1389
09:11:25,192.168.10.20,1390,tcp,Exception error for port 1390
09:11:25,192.168.10.20,1391,tcp,Exception error for port 1391
09:11:25,192.168.10.20,1392,tcp,Exception error for port 1392
09:11:25,192.168.10.20,1393,tcp,Exception error for port 1393
09:11:25,192.168.10.20,1394,tcp,Exception error for port 1394
09:11:25,192.168.10.20,1395,tcp,Exception error for port 1395
09:11:25,192.168.10.20,1396,tcp,Exception error for port 1396
09:11:25,192.168.10.20,1397,tcp,Exception error for port 1397
09:11:25,192.168.10.20,1398,tcp,Exception error for port 1398
09:11:25,192.168.10.20,1399,tcp,Exception error for port 1399
09:11:25,192.168.10.20,1400,tcp,Exception error for port 1400
09:11:25,192.168.10.20,1401,tcp,Exception error for port 1401
09:11:25,192.168.10.20,1402,tcp,Exception error for port 1402
09:11:25,192.168.10.20,1403,tcp,Exception error for port 1403
09:11:25,192.168.10.20,1404,tcp,Exception error for port 1404
09:11:25,192.168.10.20,1405,tcp,Exception error for port 1405
09:11:25,192.168.10.20,1406,tcp,Exception error for port 1406
09:11:25,192.168.10.20,1407,tcp,Exception error for port 1407
09:11:25,192.168.10.20,1408,tcp,Exception error for port 1408
09:11:25,192.168.10.20,1409,tcp,Exception error for port 1409
09:11:25,192.168.10.20,1410,tcp,Exception error for port 1410
09:11:25,192.168.10.20,1411,tcp,Exception error for port 1411
09:11:25,192.168.10.20,1412,tcp,Exception error for port 1412
09:11:25,192.168.10.20,1413,tcp,Exception error for port 1413
09:11:25,192.168.10.20,1414,tcp,Exception error for port 1414
09:11:25,192.168.10.20,1415,tcp,Exception error for port 1415
09:11:25,192.168.10.20,1416,tcp,Exception error for port 1416
09:11:25,192.168.10.20,1417,tcp,Exception error for port 1417
09:11:25,192.168.10.20,1418,tcp,Exception error for port 1418
09:11:25,192.168.10.20,1419,tcp,Exception error for port 1419
09:11:25,192.168.10.20,1420,tcp,Exception error for port 1420
09:11:25,192.168.10.20,1421,tcp,Exception error for port 1421
09:11:25,192.168.10.20,1422,tcp,Exception error for port 1422
09:11:25,192.168.10.20,1423,tcp,Exception error for port 1423
09:11:25,192.168.10.20,1425,tcp,Exception error for port 1425
09:11:25,192.168.10.20,1426,tcp,Exception error for port 1426
09:11:25,192.168.10.20,1427,tcp,Exception error for port 1427
09:11:25,192.168.10.20,1428,tcp,Exception error for port 1428
09:11:25,192.168.10.20,1429,tcp,Exception error for port 1429
09:11:25,192.168.10.20,1430,tcp,Exception error for port 1430
09:11:25,192.168.10.20,1431,tcp,Exception error for port 1431
09:11:25,192.168.10.20,1432,tcp,Exception error for port 1432
09:11:25,192.168.10.20,1433,tcp,Exception error for port 1433
09:11:25,192.168.10.20,1434,tcp,Exception error for port 1434
09:11:25,192.168.10.20,1435,tcp,Exception error for port 1435
09:11:25,192.168.10.20,1436,tcp,Exception error for port 1436
09:11:25,192.168.10.20,1437,tcp,Exception error for port 1437
09:11:25,192.168.10.20,1438,tcp,Exception error for port 1438
09:11:25,192.168.10.20,1439,tcp,Exception error for port 1439
09:11:25,192.168.10.20,1440,tcp,Exception error for port 1440
09:11:25,192.168.10.20,1441,tcp,Exception error for port 1441
09:11:25,192.168.10.20,1442,tcp,Exception error for port 1442
09:11:25,192.168.10.20,1443,tcp,Exception error for port 1443
09:11:25,192.168.10.20,1444,tcp,Exception error for port 1444
09:11:25,192.168.10.20,1445,tcp,Exception error for port 1445
09:11:25,192.168.10.20,1446,tcp,Exception error for port 1446
09:11:25,192.168.10.20,1447,tcp,Exception error for port 1447
09:11:25,192.168.10.20,1448,tcp,Exception error for port 1448
09:11:25,192.168.10.20,1449,tcp,Exception error for port 1449
09:11:25,192.168.10.20,1450,tcp,Exception error for port 1450
09:11:25,192.168.10.20,1451,tcp,Exception error for port 1451
09:11:25,192.168.10.20,1452,tcp,Exception error for port 1452
09:11:25,192.168.10.20,1453,tcp,Exception error for port 1453
09:11:25,192.168.10.20,1454,tcp,Exception error for port 1454
09:11:25,192.168.10.20,1455,tcp,Exception error for port 1455
09:11:25,192.168.10.20,1456,tcp,Exception error for port 1456
09:11:25,192.168.10.20,1457,tcp,Exception error for port 1457
09:11:25,192.168.10.20,1458,tcp,Exception error for port 1458
09:11:25,192.168.10.20,1459,tcp,Exception error for port 1459
09:11:25,192.168.10.20,1460,tcp,Exception error for port 1460
09:11:25,192.168.10.20,1461,tcp,Exception error for port 1461
09:11:25,192.168.10.20,1462,tcp,Exception error for port 1462
09:11:25,192.168.10.20,1463,tcp,Exception error for port 1463
09:11:25,192.168.10.20,1464,tcp,Exception error for port 1464
09:11:25,192.168.10.20,1465,tcp,Exception error for port 1465
09:11:25,192.168.10.20,1466,tcp,Exception error for port 1466
09:11:25,192.168.10.20,1467,tcp,Exception error for port 1467
09:11:25,192.168.10.20,1468,tcp,Exception error for port 1468
09:11:25,192.168.10.20,1469,tcp,Exception error for port 1469
09:11:25,192.168.10.20,1470,tcp,Exception error for port 1470
